Id_dropped,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley_dropped,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating_dropped,HeatingQC,CentralAir,Electrical,1stFlrSF_dropped,2ndFlrSF_dropped,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,logSalePrice,logGrLivArea,sqrGarageCars,Bath,FlrSF,RemodAge,RecentRemod,BedroomRatio,hasFireplace,enc_FireplaceQu,logMasVnrArea,enc_ExterQual,Porch,trunLotArea,trunLotFrontage,trunBsmtSF,enc_BsmtQual,enc_CentralAir,hasCircuitBreaker,isPConc,enc_GarageFinish,isGarageAttached,enc_HeatingQC,enc_KitchenQual,isLotRegular,isLowDensity,enc_MasVnrType,enc_PavedDrive,isNewHome
1,60,RL,65.0,8450,Pave,Null,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,706,Unf,0,150,856,GasA,Ex,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,Gd,8,Typ,0,Null,Attchd,2003.0,RFn,2,548,TA,TA,Y,0,61,0,0,0,0,Null,Null,Null,0,2,2008,WD,Normal,208500,12.24769911637256,7.444833273892193,4,2.5,1710,0,1,0.2727272727272727,0,0.0,5.2832037287379885,1.0,61,8450,65.0,856,2.0,1.0,1,1,2.0,1,2.0,1.0,1,1,1.0,2.0,0
2,20,RL,80.0,9600,Pave,Null,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978,Unf,0,284,1262,GasA,Ex,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,RFn,2,460,TA,TA,Y,298,0,0,0,0,0,Null,Null,Null,0,5,2007,WD,Normal,181500,12.109016442313738,7.141245122350491,4,2.0,1262,0,0,0.3333333333333333,1,0.0,0.0,0.0,298,9600,80.0,1262,2.0,1.0,1,0,2.0,1,2.0,0.0,1,1,0.0,2.0,0
3,60,RL,68.0,11250,Pave,Null,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,Unf,0,434,920,GasA,Ex,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,2001.0,RFn,2,608,TA,TA,Y,0,42,0,0,0,0,Null,Null,Null,0,9,2008,WD,Normal,223500,12.317171167298682,7.488293515159428,4,2.5,1786,1,1,0.3333333333333333,1,0.0,5.093750200806762,1.0,42,11250,68.0,920,2.0,1.0,1,1,2.0,1,2.0,1.0,0,1,1.0,2.0,0
4,70,RL,60.0,9550,Pave,Null,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,216,Unf,0,540,756,GasA,Gd,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,1998.0,Unf,3,642,TA,TA,Y,0,35,272,0,0,0,Null,Null,Null,0,2,2006,WD,Abnorml,140000,11.849404844423074,7.4489161025442,9,1.0,1717,55,0,0.3,1,1.0,0.0,0.0,35,9550,60.0,756,1.0,1.0,1,0,1.0,0,1.0,1.0,0,1,0.0,2.0,0
5,60,RL,84.0,14260,Pave,Null,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,655,Unf,0,490,1145,GasA,Ex,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,2000.0,RFn,3,836,TA,TA,Y,192,84,0,0,0,0,Null,Null,Null,0,12,2008,WD,Normal,250000,12.429220196836384,7.695757990554761,9,2.5,2198,0,1,0.3076923076923077,1,0.0,5.860786223465865,1.0,276,14260,84.0,1145,2.0,1.0,1,1,2.0,1,2.0,1.0,0,1,1.0,2.0,0
6,50,RL,85.0,14115,Pave,Null,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,Wood,Gd,TA,No,GLQ,732,Unf,0,64,796,GasA,Ex,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,TA,5,Typ,0,Null,Attchd,1993.0,Unf,2,480,TA,TA,Y,40,30,0,320,0,0,Null,MnPrv,Shed,700,10,2009,WD,Normal,143000,11.870606902224589,7.217443431696533,4,1.5,1362,2,1,0.16666666666666666,0,0.0,0.0,0.0,70,14115,85.0,796,2.0,1.0,1,0,1.0,1,2.0,0.0,0,1,0.0,2.0,0
7,20,RL,75.0,10084,Pave,Null,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,Unf,0,317,1686,GasA,Ex,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2004.0,RFn,2,636,TA,TA,Y,255,57,0,0,0,0,Null,Null,Null,0,8,2007,WD,Normal,307000,12.63460628389302,7.43543801981455,4,2.0,1694,1,1,0.3,1,1.0,5.231108616854587,1.0,312,10084,75.0,1686,3.0,1.0,1,1,2.0,1,2.0,1.0,1,1,2.0,2.0,0
8,60,RL,,10382,Pave,Null,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859,BLQ,32,216,1107,GasA,Ex,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1973.0,RFn,2,484,TA,TA,Y,235,204,228,0,0,0,Null,Null,Shed,350,11,2009,WD,Normal,200000,12.206077645517674,7.645397699428633,4,2.5,2090,0,0,0.3,1,0.0,5.484796933490655,0.0,439,10382,150.0,1107,2.0,1.0,1,0,2.0,1,2.0,0.0,0,1,2.0,2.0,0
9,50,RM,51.0,6120,Pave,Null,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,952,952,GasA,Gd,Y,FuseF,1022,752,0,1774,0,0,2,0,2,2,TA,8,Min1,2,TA,Detchd,1931.0,Unf,2,468,Fa,TA,Y,90,0,205,0,0,0,Null,Null,Null,0,4,2008,WD,Abnorml,129900,11.774527900858468,7.4815557019095165,4,2.0,1774,19,0,0.2,1,0.0,0.0,0.0,90,6120,51.0,952,1.0,1.0,0,0,1.0,0,1.0,0.0,1,0,0.0,2.0,0
10,190,RL,50.0,7420,Pave,Null,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851,Unf,0,140,991,GasA,Ex,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,TA,5,Typ,2,TA,Attchd,1939.0,RFn,1,205,Gd,TA,Y,0,4,0,0,0,0,Null,Null,Null,0,1,2008,WD,Normal,118000,11.678448377988165,6.982862751468942,1,1.0,1077,11,0,0.2857142857142857,1,0.0,0.0,0.0,4,7420,50.0,991,1.0,1.0,1,0,2.0,1,2.0,0.0,1,1,0.0,2.0,0
