iter	RMSE
0	0.3711182645
1	0.3460046997
2	0.3239903949
3	0.303788178
4	0.286195952
5	0.269549203
6	0.2551964262
7	0.24223081
8	0.2309691932
9	0.2201492542
10	0.2107130439
11	0.2027791375
12	0.1946525865
13	0.1883763225
14	0.1826104082
15	0.1774038936
16	0.172657242
17	0.1686595165
18	0.164853139
19	0.1615762979
20	0.1587299515
21	0.1563601536
22	0.1537459199
23	0.1516414121
24	0.1496590532
25	0.1478081069
26	0.1460018621
27	0.1446968537
28	0.1433646804
29	0.1421764926
30	0.1410259066
31	0.1400115515
32	0.1389429754
33	0.1380306672
34	0.1366272899
35	0.1357409042
36	0.1351052782
37	0.1345252103
38	0.1333789764
39	0.1327418578
40	0.131452232
41	0.1310170007
42	0.1301546349
43	0.1297052788
44	0.1291563753
45	0.1283994432
46	0.1280308745
47	0.1274604041
48	0.1268292572
49	0.1262580216
50	0.1255942515
51	0.1250289702
52	0.1245594225
53	0.1239677148
54	0.1236812612
55	0.1230435463
56	0.1226026067
57	0.1221292752
58	0.121748466
59	0.1211510023
60	0.1204974059
61	0.1201876607
62	0.1198562716
63	0.1194264212
64	0.1191350511
65	0.1189465466
66	0.1184965352
67	0.1178442601
68	0.1174405358
69	0.1171352448
70	0.1168476168
71	0.1164853677
72	0.1159877176
73	0.1156480014
74	0.1153883382
75	0.1150956139
76	0.1148299261
77	0.1143885772
78	0.1137305061
79	0.1132640324
80	0.1128619187
81	0.1124005122
82	0.1121479584
83	0.111588103
84	0.1109932973
85	0.1104053452
86	0.1098691327
87	0.1095287429
88	0.1091063775
89	0.1086543058
90	0.108192653
91	0.1076889477
92	0.1074324837
93	0.1069826343
94	0.1065099711
95	0.1061504715
96	0.1056625877
97	0.1052718086
98	0.1049568546
99	0.104626636
36

5
435858
	0.08649206092
4
99	0.06904292931
9	0.05740510508
