iter	Passed	Remaining
0	7	710
1	10	493
2	15	498
3	18	448
4	22	423
5	24	387
6	28	383
7	36	415
8	39	399
9	41	374
10	45	368
11	50	371
12	54	364
13	57	351
14	60	341
15	64	336
16	69	340
17	71	325
18	74	318
19	77	308
20	79	299
21	82	293
22	84	283
23	88	278
24	90	270
25	91	261
26	94	255
27	98	252
28	100	246
29	102	239
30	105	234
31	109	233
32	112	229
33	116	225
34	120	223
35	121	216
36	123	210
37	125	204
38	126	198
39	129	193
40	130	187
41	131	182
42	133	177
43	134	171
44	136	166
45	137	161
46	138	156
47	139	151
48	141	146
49	142	142
50	144	139
51	146	134
52	147	130
53	148	126
54	150	122
55	151	118
56	152	114
57	153	111
58	154	107
59	155	103
60	156	99
61	157	96
62	158	93
63	159	89
64	160	86
65	161	83
66	162	80
67	163	77
68	164	74
69	165	71
70	166	68
71	167	65
72	168	62
73	169	59
74	170	56
75	171	54
76	172	51
77	173	49
78	174	46
79	175	43
80	176	41
81	177	39
82	178	36
83	179	34
84	180	31
85	181	29
86	182	27
87	183	25
88	184	22
89	185	20
90	186	18
91	187	16
92	188	14
93	189	12
94	190	10
95	190	7
96	191	5
97	192	3
98	193	1
99	194	0
9	226	0
335	3
99	336	0
	0
