Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,logSalePrice,encBsmtCond,encBsmtExposure,encBsmtQual,encCentralAir,encExterCond,encExterQual,encFireplaceQu,encGarageFinish,encGarageQual,encHeatingQC,encKitchenQual,encLotShape,encPavedDrive,encSaleCondition,clipGrLivArea,logclipGrLivArea,clipGarageArea,sqrGarageCars,Bath,clipTotalBsmtSF,isRecentRemod,RemodAge,isFireplace,encFoundation,encFunctional,encGarageType,encHouseStyle,encNeighborhood,logencNeighborhood,logGarageArea,residuals,encBsmtFinType1,isStone,logLotArea,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,Porch,logTotalBsmtSF,hasBreaker,test_feature,test,hasPool
1,60,RL,65.0,8450,Pave,Null,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,706,Unf,0,150,856,GasA,Ex,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,Gd,8,Typ,0,Null,Attchd,2003.0,RFn,2,548,TA,TA,Y,0,61,0,0,0,0,Null,Null,Null,0,2,2008,WD,Normal,208500,12.24769911637256,2.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,4.0,2.0,0.0,2.0,1.0,1710,7.444833273892193,548,4,2.5,856,1,0,0,2.0,0.0,2.0,2.0,197200.0,12.19197879213173,6.3080984415095305,-0.007559675943863198,5.0,0,9.042040056544485,1,0,0,0,0,61,6.75343791859778,1,0,0,0
2,20,RL,80.0,9600,Pave,Null,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978,Unf,0,284,1262,GasA,Ex,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,RFn,2,460,TA,TA,Y,298,0,0,0,0,0,Null,Null,Null,0,5,2007,WD,Normal,181500,12.109016442313738,2.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,0.0,2.0,1.0,1262,7.141245122350491,460,4,2.0,1262,0,0,1,1.0,0.0,2.0,1.0,218000.0,12.292254928916668,6.133398042996649,0.13123380595953904,6.0,0,9.169622538697624,1,0,0,0,0,298,7.141245122350491,1,0,0,0
3,60,RL,68.0,11250,Pave,Null,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,Unf,0,434,920,GasA,Ex,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,2001.0,RFn,2,608,TA,TA,Y,0,42,0,0,0,0,Null,Null,Null,0,9,2008,WD,Normal,223500,12.317171167298682,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,1786,7.488293515159428,608,4,2.5,920,1,1,1,2.0,0.0,2.0,2.0,197200.0,12.19197879213173,6.411818267709897,-0.03141618554904113,5.0,0,9.328212292571072,1,0,0,0,0,42,6.825460036255307,1,0,0,0
4,70,RL,60.0,9550,Pave,Null,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,216,Unf,0,540,756,GasA,Gd,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,1998.0,Unf,3,642,TA,TA,Y,0,35,272,0,0,0,Null,Null,Null,0,2,2006,WD,Abnorml,140000,11.849404844423074,3.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0,0.0,1717,7.4489161025442,642,9,1.0,756,0,55,1,0.0,0.0,1.0,2.0,200624.0,12.209192772866418,6.466144724237619,0.17241681313280033,6.0,0,9.164401140034736,1,0,0,0,0,35,6.6293632534374485,1,0,0,0
5,60,RL,84.0,14260,Pave,Null,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,655,Unf,0,490,1145,GasA,Ex,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,2000.0,RFn,3,836,TA,TA,Y,192,84,0,0,0,0,Null,Null,Null,0,12,2008,WD,Normal,250000,12.429220196836384,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,2198,7.695757990554761,836,9,2.5,1145,1,0,1,2.0,0.0,2.0,2.0,301500.0,12.616528611893465,6.729824070489475,0.22373675167909113,5.0,0,9.565283817736766,1,0,0,0,0,276,7.044032897274685,1,0,0,0
6,50,RL,85.0,14115,Pave,Null,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,Wood,Gd,TA,No,GLQ,732,Unf,0,64,796,GasA,Ex,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,TA,5,Typ,0,Null,Attchd,1993.0,Unf,2,480,TA,TA,Y,40,30,0,320,0,0,Null,MnPrv,Shed,700,10,2009,WD,Normal,143000,11.870606902224589,2.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1362,7.217443431696533,480,4,1.5,796,1,2,0,2.0,0.0,2.0,0.0,153500.0,11.941462360646147,6.175867270105761,0.1176677691099215,5.0,0,9.55506418479516,1,0,0,0,0,70,6.680854678790215,1,0,0,0
7,20,RL,75.0,10084,Pave,Null,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,Unf,0,317,1686,GasA,Ex,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2004.0,RFn,2,636,TA,TA,Y,255,57,0,0,0,0,Null,Null,Null,0,8,2007,WD,Normal,307000,12.63460628389302,2.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,0.0,2.0,1.0,1694,7.43543801981455,636,4,2.0,1686,1,1,1,2.0,0.0,2.0,1.0,225500.0,12.326079872504838,6.456769655572163,-0.10476381225634412,5.0,1,9.218804450388312,1,0,0,0,0,312,7.430707082545968,1,0,0,0
8,60,RL,,10382,Pave,Null,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859,BLQ,32,216,1107,GasA,Ex,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1973.0,RFn,2,484,TA,TA,Y,235,204,228,0,0,0,Null,Null,Shed,350,11,2009,WD,Normal,200000,12.206077645517674,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,2090,7.645397699428633,484,4,2.5,1107,0,0,1,1.0,0.0,2.0,2.0,182900.0,12.116700301832571,6.184148890937483,0.17259000794425106,6.0,1,9.247925132303454,1,0,0,0,0,439,7.010311867307229,1,0,0,0
9,50,RM,51.0,6120,Pave,Null,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,952,952,GasA,Gd,Y,FuseF,1022,752,0,1774,0,0,2,0,2,2,TA,8,Min1,2,TA,Detchd,1931.0,Unf,2,468,Fa,TA,Y,90,0,205,0,0,0,Null,Null,Null,0,4,2008,WD,Abnorml,129900,11.774527900858468,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,0.0,2.0,0.0,1774,7.4815557019095165,468,4,2.0,952,0,19,1,0.0,2.0,1.0,0.0,119000.0,11.686887175419702,6.150602768446279,-0.09277245191478478,1.0,0,8.71948076085107,1,0,0,0,0,90,6.859614903654202,0,0,0,0
10,190,RL,50.0,7420,Pave,Null,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851,Unf,0,140,991,GasA,Ex,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,TA,5,Typ,2,TA,Attchd,1939.0,RFn,1,205,Gd,TA,Y,0,4,0,0,0,0,Null,Null,Null,0,1,2008,WD,Normal,118000,11.678448377988165,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,4.0,1.0,0.0,2.0,1.0,1077,6.982862751468942,205,1,1.0,991,0,11,1,0.0,0.0,2.0,,124300.0,11.730461322518734,5.327876168789581,0.013370047391980222,5.0,0,8.912069097970134,0,1,0,0,0,4,6.899723107284872,1,0,0,0
