line,measure,pitch,x,string
0.0,0.0,-7.0,380.0,F
0.0,0.0,-3.0,380.0,A
0.0,0.0,0.0,380.0,C
0.0,0.0,5.0,380.0,F
0.0,1.0,-8.0,750.0,E
0.0,1.0,-5.0,750.0,G
0.0,1.0,0.0,750.0,C
0.0,1.0,7.0,750.0,G
0.0,1.0,-12.0,950.0,C
0.0,1.0,0.0,950.0,C
0.0,1.0,4.0,950.0,E
0.0,1.0,7.0,950.0,G
0.0,1.0,-15.0,1160.0,A
0.0,1.0,0.0,1160.0,C
0.0,1.0,0.0,1160.0,C
0.0,1.0,5.0,1160.0,F
0.0,1.0,-7.0,1360.0,F
0.0,2.0,-14.0,1670.0,A#/Bb
0.0,2.0,-7.0,1670.0,F
0.0,2.0,-2.0,1670.0,A#/Bb
0.0,2.0,2.0,1670.0,D
0.0,2.0,-19.0,1950.0,F
0.0,2.0,-7.0,1950.0,F
0.0,2.0,-3.0,1950.0,A
0.0,2.0,0.0,1950.0,C
0.0,3.0,-14.0,2300.0,A#/Bb
0.0,3.0,-7.0,2300.0,F
0.0,3.0,-2.0,2300.0,A#/Bb
0.0,3.0,2.0,2300.0,D
0.0,3.0,-17.0,2580.0,G
0.0,3.0,-5.0,2580.0,G
0.0,3.0,-2.0,2580.0,A#/Bb
0.0,3.0,4.0,2580.0,E
0.0,4.0,-19.0,2980.0,F
0.0,4.0,-3.0,2980.0,A
0.0,4.0,0.0,2980.0,C
0.0,4.0,5.0,2980.0,F
0.0,5.0,-7.0,3460.0,F
0.0,5.0,0.0,3460.0,C
0.0,5.0,5.0,3460.0,F
0.0,5.0,9.0,3460.0,A
0.0,5.0,-15.0,3740.0,A
0.0,5.0,0.0,3740.0,C
0.0,5.0,5.0,3740.0,F
0.0,5.0,12.0,3740.0,C
1.0,6.0,-14.0,3740.0,A#/Bb
1.0,6.0,-12.0,3740.0,C
1.0,6.0,-5.0,3740.0,G
1.0,6.0,-2.0,3740.0,A#/Bb
1.0,6.0,4.0,3740.0,E
1.0,6.0,5.0,3740.0,F
1.0,6.0,12.0,3740.0,C
1.0,6.0,14.0,3740.0,D
1.0,7.0,-15.0,3740.0,A
1.0,7.0,-10.0,3740.0,D
1.0,7.0,-7.0,3740.0,F
1.0,7.0,-7.0,3740.0,F
1.0,7.0,0.0,3740.0,C
1.0,7.0,5.0,3740.0,F
1.0,7.0,5.0,3740.0,F
1.0,7.0,9.0,3740.0,A
1.0,8.0,-17.0,3740.0,G
1.0,8.0,-14.0,3740.0,A#/Bb
1.0,8.0,-7.0,3740.0,F
1.0,8.0,-5.0,3740.0,G
1.0,8.0,-2.0,3740.0,A#/Bb
1.0,8.0,-2.0,3740.0,A#/Bb
1.0,8.0,2.0,3740.0,D
1.0,8.0,4.0,3740.0,E
1.0,9.0,-19.0,3740.0,F
1.0,9.0,-3.0,3740.0,A
1.0,9.0,0.0,3740.0,C
1.0,9.0,5.0,3740.0,F
1.0,10.0,-19.0,3740.0,F
1.0,10.0,-15.0,3740.0,A
1.0,10.0,-12.0,3740.0,C
1.0,10.0,-7.0,3740.0,F
1.0,10.0,0.0,3740.0,C
1.0,10.0,0.0,3740.0,C
1.0,10.0,0.0,3740.0,C
1.0,10.0,0.0,3740.0,C
1.0,10.0,4.0,3740.0,E
1.0,10.0,5.0,3740.0,F
1.0,10.0,5.0,3740.0,F
1.0,10.0,5.0,3740.0,F
1.0,10.0,7.0,3740.0,G
1.0,10.0,9.0,3740.0,A
1.0,10.0,9.0,3740.0,A
1.0,10.0,9.0,3740.0,A
2.0,11.0,-10.0,3740.0,D
2.0,11.0,-7.0,3740.0,F
2.0,11.0,-7.0,3740.0,F
2.0,11.0,-3.0,3740.0,A
2.0,11.0,-3.0,3740.0,A
2.0,11.0,0.0,3740.0,C
2.0,11.0,0.0,3740.0,C
2.0,11.0,2.0,3740.0,D
2.0,11.0,5.0,3740.0,F
2.0,11.0,5.0,3740.0,F
2.0,11.0,5.0,3740.0,F
2.0,11.0,9.0,3740.0,A
2.0,12.0,-15.0,3740.0,A
2.0,12.0,-14.0,3740.0,A#/Bb
2.0,12.0,-12.0,3740.0,C
2.0,12.0,0.0,3740.0,C
2.0,12.0,1.0,3740.0,C#/Db
2.0,12.0,2.0,3740.0,D
2.0,12.0,2.0,3740.0,D
2.0,12.0,4.0,3740.0,E
2.0,12.0,4.0,3740.0,E
2.0,12.0,7.0,3740.0,G
2.0,12.0,7.0,3740.0,G
2.0,12.0,9.0,3740.0,A
2.0,13.0,-17.0,3740.0,G
2.0,13.0,-12.0,3740.0,C
2.0,13.0,-10.0,3740.0,D
2.0,13.0,-3.0,3740.0,A
2.0,13.0,-2.0,3740.0,A#/Bb
2.0,13.0,0.0,3740.0,C
2.0,13.0,2.0,3740.0,D
2.0,13.0,2.0,3740.0,D
2.0,13.0,4.0,3740.0,E
2.0,13.0,5.0,3740.0,F
2.0,13.0,7.0,3740.0,G
2.0,13.0,7.0,3740.0,G
2.0,14.0,-19.0,3740.0,F
2.0,14.0,-15.0,3740.0,A
2.0,14.0,-7.0,3740.0,F
2.0,14.0,0.0,3740.0,C
2.0,14.0,0.0,3740.0,C
2.0,14.0,5.0,3740.0,F
2.0,14.0,5.0,3740.0,F
2.0,14.0,9.0,3740.0,A
3.0,15.0,-15.0,3740.0,A
3.0,15.0,-14.0,3740.0,A#/Bb
3.0,15.0,-12.0,3740.0,C
3.0,15.0,-10.0,3740.0,D
3.0,15.0,-8.0,3740.0,E
3.0,15.0,-7.0,3740.0,F
3.0,15.0,-7.0,3740.0,F
3.0,15.0,-7.0,3740.0,F
3.0,15.0,-3.0,3740.0,A
3.0,15.0,-2.0,3740.0,A#/Bb
3.0,15.0,0.0,3740.0,C
3.0,15.0,0.0,3740.0,C
3.0,15.0,2.0,3740.0,D
3.0,15.0,5.0,3740.0,F
3.0,15.0,5.0,3740.0,F
3.0,15.0,7.0,3740.0,G
3.0,16.0,-17.0,3740.0,G
3.0,16.0,-10.0,3740.0,D
3.0,16.0,-7.0,3740.0,F
3.0,16.0,-5.0,3740.0,G
3.0,16.0,-3.0,3740.0,A
3.0,16.0,-1.0,3740.0,B
3.0,16.0,2.0,3740.0,D
3.0,16.0,5.0,3740.0,F
3.0,17.0,-5.0,3740.0,G
3.0,17.0,0.0,3740.0,C
3.0,18.0,-19.0,3740.0,F
3.0,18.0,-17.0,3740.0,G
3.0,18.0,-14.0,3740.0,A#/Bb
3.0,18.0,-7.0,3740.0,F
3.0,18.0,-5.0,3740.0,G
3.0,18.0,-3.0,3740.0,A
